   ,SUBURB           ,ADDRESS                                                           ,bedroom_count,Type          ,dwelling_type          ,sold_price,Method        ,agency_name                                                  ,Date Sold ,postcode,Population,Distance from CBD,Hospital,School,Super Market,latitude           ,longitude
159,WOOLLAHRA        ,"12 Spicer Street, Woollahra"                                     ,2            ,h             ,House                  ,1865000.0 ,Auction       ,BradfieldCleary                                              ,15/05/2018,2025    ,7407      ,3.6              ,0       ,0     ,0           ,-33.8876953        ,151.237564
160,WOOLLAHRA        ,"27/96 Wallis Street, Woollahra"                                  ,1            ,u             ,Apartment / Unit / Flat,450000.0  ,Private Treaty,Phillips Pantzer Donnelley                                   ,15/05/2018,2025    ,7407      ,3.6              ,0       ,0     ,0           ,-33.88949          ,151.240677
161,WOOLWICH         ,"6 Collingwood  Street, Woolwich"                                 ,6            ,h             ,House                  ,7875000.0 ,Private Treaty,Christie's International Real Estate                         ,15/05/2018,2110    ,816       ,4.5              ,0       ,0     ,0           ,-33.83935          ,151.170517
162,WOOLWICH         ,"6 Collingwood  Street, Woolwich"                                 ,6            ,h             ,House                  ,7875000.0 ,Private Treaty,Christie's International Real Estate                         ,15/05/2018,2110    ,816       ,4.5              ,0       ,0     ,0           ,-33.83935          ,151.170517
163,AIRDS            ,"2 Elizabeth Way, Airds"                                          ,3            ,h             ,House                  ,460000.0  ,Auction       ,Harcourts The Property People                                ,16/05/2018,2560    ,2927      ,42.4             ,0       ,1     ,0           ,-34.084007299999996,150.8342
164,ALLAMBIE HEIGHTS ,"2/23 Kentwell Road, Allambie Heights"                            ,2            ,h             ,House                  ,985000.0  ,Private Treaty,Belle Property Seaforth                                      ,16/05/2018,2100    ,7006      ,12.0             ,0       ,3     ,0           ,-33.7764435        ,151.26387
165,ALLAMBIE HEIGHTS ,"2/23 Kentwell Road, Allambie Heights"                            ,2            ,h             ,House                  ,985000.0  ,Private Treaty,Belle Property Seaforth                                      ,16/05/2018,2100    ,7006      ,12.0             ,0       ,3     ,0           ,-33.7764435        ,151.26387
166,ASHFIELD         ,"65a Milton  Street, Ashfield"                                    ,2            ,h             ,Semi-Detached          ,875000.0  ,Private Treaty,Richard Matthews Real Estate                                 ,16/05/2018,2131    ,23839     ,7.9              ,0       ,6     ,0           ,-33.8903732        ,151.116928
167,ASHFIELD         ,"11/8 Tintern Road, Ashfield"                                     ,2            ,u             ,Apartment / Unit / Flat,745000.0  ,others        ,LJ Hooker Ashfield                                           ,16/05/2018,2131    ,23839     ,7.9              ,0       ,6     ,0           ,-33.8920746        ,151.131226
168,AVALON BEACH     ,"167 Avalon Parade, Avalon Beach"                                 ,5            ,h             ,House                  ,2850000.0 ,Auction       ,LJ Hooker Avalon                                             ,16/05/2018,2107    ,9908      ,28.1             ,0       ,4     ,0           ,-33.6308479        ,151.319183
169,AVALON BEACH     ,"167 Avalon Parade, Avalon Beach"                                 ,5            ,h             ,House                  ,2850000.0 ,Auction       ,LJ Hooker Avalon                                             ,16/05/2018,2107    ,9908      ,28.1             ,0       ,4     ,0           ,-33.6308479        ,151.319183
170,BALGOWLAH        ,"3 Whittle Avenue, Balgowlah"                                     ,4            ,h             ,House                  ,1675000.0 ,Private Treaty,McGrath Manly                                                ,16/05/2018,2093    ,7963      ,9.6              ,0       ,4     ,0           ,-33.797184         ,151.252792
171,BALGOWLAH        ,"3 Whittle Avenue, Balgowlah"                                     ,4            ,h             ,House                  ,1675000.0 ,Private Treaty,McGrath Manly                                                ,16/05/2018,2093    ,7963      ,9.6              ,0       ,4     ,0           ,-33.797184         ,151.252792
172,BANKSTOWN        ,"10/9-11 Carmen Street, Bankstown"                                ,2            ,u             ,Apartment / Unit / Flat,450500.0  ,Private Treaty,Prestige Professionals                                       ,16/05/2018,2200    ,32116     ,16.9             ,1       ,13    ,0           ,-33.911453200000004,151.028656
173,BEACON HILL      ,"20 Kokoda Crescent, Beacon Hill"                                 ,3            ,h             ,House                  ,1230000.0 ,Auction       ,Clarke & Humel Property                                      ,16/05/2018,2100    ,7456      ,13.7             ,0       ,1     ,0           ,-33.7576523        ,151.253967
174,BEECROFT         ,"7/76 Beecroft Road, Beecroft"                                    ,2            ,u             ,Apartment / Unit / Flat,655000.0  ,Private Treaty,Ray White Beecroft                                           ,16/05/2018,2119    ,9395      ,18.6             ,0       ,2     ,0           ,-33.7499847        ,151.064255
175,BEECROFT         ,"7/76 Beecroft Road, Beecroft"                                    ,2            ,u             ,Apartment / Unit / Flat,655000.0  ,Private Treaty,Ray White Beecroft                                           ,16/05/2018,2119    ,9395      ,18.6             ,0       ,2     ,0           ,-33.7499847        ,151.064255
176,BELLEVUE HILL    ,"1-3 Trahlee Road, Bellevue Hill"                                 ,5            ,h             ,House                  ,5350000.0 ,Auction       ,Phillips Pantzer Donnelley                                   ,16/05/2018,2023    ,10719     ,5.3              ,0       ,8     ,0           ,-33.8765831        ,151.248917
177,BELROSE          ,"42 Windrush Avenue, Belrose"                                     ,4            ,h             ,House                  ,1525000.0 ,Auction       ,L J Hooker Forest                                            ,16/05/2018,2085    ,8775      ,14.2             ,0       ,6     ,0           ,-33.7285271        ,151.211319
178,BIRCHGROVE       ,"2A Spring Street, Birchgrove"                                    ,2            ,h             ,House                  ,1900000.0 ,Private Treaty,Ray White Balmain                                            ,16/05/2018,2041    ,3302      ,2.9              ,0       ,0     ,0           ,-33.854009999999995,151.180984
179,BIRCHGROVE       ,"2A Spring Street, Birchgrove"                                    ,2            ,h             ,House                  ,1900000.0 ,Private Treaty,Ray White Balmain                                            ,16/05/2018,2041    ,3302      ,2.9              ,0       ,0     ,0           ,-33.854009999999995,151.180984
180,BLACKETT         ,"6 Murphy Place, Blackett"                                        ,3            ,h             ,House                  ,490000.0  ,Private Treaty,Nidus Group - Rooty Hill                                     ,16/05/2018,2770    ,3446      ,39.3             ,0       ,2     ,0           ,-33.74112          ,150.814285
181,BLACKTOWN        ,"5/130 Main Street, Blacktown"                                    ,2            ,u             ,Apartment / Unit / Flat,550000.0  ,Private Treaty,Better Buildings Realty                                      ,16/05/2018,2148    ,47172     ,29.6             ,1       ,20    ,0           ,-33.7718239        ,150.911148
182,BLACKTOWN        ,"Villa 4/15 Moren St, Blacktown"                                  ,3            ,h             ,Villa                  ,630000.0  ,Private Treaty,Andrew Merton Real Estate                                    ,16/05/2018,2148    ,47172     ,29.6             ,1       ,20    ,0           ,-33.78722379999999 ,150.90481599999998
183,BLACKTOWN        ,"3212 Fairwater Boulevard, Blacktown"                             ,3            ,t             ,Townhouse              ,750000.0  ,Private Treaty,Frasers Property NSW                                         ,16/05/2018,2148    ,47172     ,29.6             ,1       ,20    ,0           ,-33.7598419        ,150.902557
184,BONDI            ,"1 Moore Street, Bondi"                                           ,4            ,h             ,House                  ,2550000.0 ,others        ,Phillips Pantzer Donnelley                                   ,16/05/2018,2026    ,10049     ,5.9              ,0       ,4     ,0           ,-33.891063700000004,151.265137
185,BREAKFAST POINT  ,"402/17 Woodlands Avenue, Breakfast Point"                        ,2            ,u             ,Apartment / Unit / Flat,1145000.0 ,Private Treaty,Breakfast Point Realty                                       ,16/05/2018,2137    ,4190      ,9.6              ,0       ,0     ,0           ,-33.83987          ,151.10794099999998
186,CHATSWOOD        ,"2207/438 Victoria Avenue, Chatswood"                             ,1            ,u             ,Apartment / Unit / Flat,830000.0  ,Private Treaty,88 INTERNATIONAL Pty Ltd                                     ,16/05/2018,2067    ,24914     ,8.2              ,0       ,6     ,0           ,-33.7972946        ,151.18066399999998
187,CHIPPENDALE      ,"29/52 Regent Street, Chippendale"                                ,1            ,u             ,Apartment / Unit / Flat,750000.0  ,Private Treaty,LJ Hooker Newtown                                            ,16/05/2018,2008    ,8615      ,2.2              ,0       ,1     ,0           ,-33.8871155        ,151.202
188,CHIPPENDALE      ,"29/52 Regent Street, Chippendale"                                ,1            ,u             ,Apartment / Unit / Flat,750000.0  ,Private Treaty,LJ Hooker Newtown                                            ,16/05/2018,2008    ,8615      ,2.2              ,0       ,1     ,0           ,-33.8871155        ,151.202
189,CHIPPENDALE      ,"29/52 Regent Street, Chippendale"                                ,1            ,u             ,Apartment / Unit / Flat,750000.0  ,Private Treaty,LJ Hooker Newtown                                            ,16/05/2018,2008    ,8615      ,2.2              ,0       ,1     ,0           ,-33.8871155        ,151.202
190,CHISWICK         ,"9/8 Bortfield Drive, Chiswick"                                   ,2            ,u             ,Apartment / Unit / Flat,870000.0  ,Private Treaty,Warwick Williams Real Estate                                 ,16/05/2018,2046    ,2930      ,6.8              ,0       ,0     ,0           ,-33.8467255        ,151.140961
191,CHISWICK         ,"9/8 Bortfield Drive, Chiswick"                                   ,2            ,u             ,Apartment / Unit / Flat,870000.0  ,Private Treaty,Warwick Williams Real Estate                                 ,16/05/2018,2046    ,2930      ,6.8              ,0       ,0     ,0           ,-33.8467255        ,151.140961
192,CRANEBROOK       ,"7 Bellatrix Street, Cranebrook"                                  ,3            ,h             ,House                  ,565000.0  ,Private Treaty,Response Real Estate Penrith                                 ,16/05/2018,2749    ,15763     ,49.0             ,0       ,6     ,0           ,-33.70674          ,150.716949
193,CROMER           ,"14/62 Lynwood Avenue, Cromer"                                    ,2            ,u             ,Apartment / Unit / Flat,844000.0  ,Private Treaty,Upstate                                                      ,16/05/2018,2099    ,7594      ,15.6             ,0       ,2     ,0           ,-33.74429          ,151.285278
194,DARLINGHURST     ,"1301/184 Forbes Street, Darlinghurst"                            ,2            ,u             ,Apartment / Unit / Flat,2375000.0 ,Auction       ,BresicWhitney Darlinghurst                                   ,16/05/2018,2010    ,11317     ,1.8              ,1       ,3     ,0           ,-33.875827799999996,151.219345
195,DARLINGHURST     ,"26 Burton Street, Darlinghurst"                                  ,3            ,h             ,Terrace                ,1435000.0 ,Private Treaty,Oxford Agency                                                ,16/05/2018,2010    ,11317     ,1.8              ,1       ,3     ,0           ,-33.878190000000004,151.214874
196,DARLINGHURST     ,"118/6-14 Oxford Street, Darlinghurst"                            ,1            ,u             ,Apartment / Unit / Flat,725000.0  ,others        ,Bognar Estate Agents                                         ,16/05/2018,2010    ,11317     ,1.8              ,1       ,3     ,0           ,-33.877285         ,151.213287
197,DARLINGHURST     ,"1301/184 Forbes Street, Darlinghurst"                            ,2            ,u             ,Apartment / Unit / Flat,2375000.0 ,Auction       ,BresicWhitney Darlinghurst                                   ,16/05/2018,2010    ,11317     ,1.8              ,1       ,3     ,0           ,-33.875827799999996,151.219345
198,DARLINGHURST     ,"26 Burton Street, Darlinghurst"                                  ,3            ,h             ,Terrace                ,1435000.0 ,Private Treaty,Oxford Agency                                                ,16/05/2018,2010    ,11317     ,1.8              ,1       ,3     ,0           ,-33.878190000000004,151.214874
199,DARLINGHURST     ,"118/6-14 Oxford Street, Darlinghurst"                            ,1            ,u             ,Apartment / Unit / Flat,725000.0  ,others        ,Bognar Estate Agents                                         ,16/05/2018,2010    ,11317     ,1.8              ,1       ,3     ,0           ,-33.877285         ,151.213287
200,DEE WHY          ,"18/82 Pacific Parade, Dee Why"                                   ,2            ,u             ,Apartment / Unit / Flat,722000.0  ,Private Treaty,Cunninghams Real Estate                                      ,16/05/2018,2099    ,21518     ,14.6             ,0       ,4     ,0           ,-33.754993400000004,151.29101599999998
201,DEE WHY          ,"83 Quirk Street, Dee Why"                                        ,4            ,h             ,House                  ,2325000.0 ,Auction       ,McGrath Manly                                                ,16/05/2018,2099    ,21518     ,14.6             ,0       ,4     ,0           ,-33.7589836        ,151.290146
202,DOONSIDE         ,"171 DOUGLAS ROAD, Doonside"                                      ,5            ,h             ,House                  ,835000.0  ,Private Treaty,Raine & Horne Baulkham Hills/Eastwood                        ,16/05/2018,2767    ,13452     ,33.2             ,0       ,6     ,0           ,-33.77968          ,150.873474
203,DRUMMOYNE        ,"18 Gears Avenue, Drummoyne"                                      ,4            ,h             ,House                  ,2470000.0 ,Private Treaty,Ray White Drummoyne                                          ,16/05/2018,2047    ,11950     ,5.2              ,0       ,2     ,0           ,-33.8549652        ,151.145157
204,DRUMMOYNE        ,"18 Gears Avenue, Drummoyne"                                      ,4            ,h             ,House                  ,2470000.0 ,Private Treaty,Ray White Drummoyne                                          ,16/05/2018,2047    ,11950     ,5.2              ,0       ,2     ,0           ,-33.8549652        ,151.145157
205,DULWICH HILL     ,"43/115-117 Constitution Road, Dulwich Hill"                      ,2            ,u             ,Apartment / Unit / Flat,840000.0  ,Private Treaty,Raine & Horne Marrickville                                   ,16/05/2018,2203    ,13710     ,7.2              ,0       ,4     ,0           ,-33.9030075        ,151.138779
206,DULWICH HILL     ,"22/30-34 Cobar Street, Dulwich Hill"                             ,2            ,u             ,Apartment / Unit / Flat,735000.0  ,Private Treaty,MGM MARTIN                                                   ,16/05/2018,2203    ,13710     ,7.2              ,0       ,4     ,0           ,-33.904109999999996,151.13092
207,DUNDAS           ,"1/327 Kissing Point Road, Dundas"                                ,3            ,t             ,Townhouse              ,795000.0  ,Private Treaty,McGrath Epping                                               ,16/05/2018,2117    ,4735      ,16.8             ,1       ,2     ,0           ,-33.80150220000001 ,151.0569
208,EAST KILLARA     ,"75 Barrie Street, East Killara"                                  ,4            ,h             ,House                  ,2150000.0 ,Private Treaty,McConnell Bourn - North Shore                                ,16/05/2018,2071    ,2974      ,13.1             ,0       ,0     ,0           ,-33.7576523        ,151.186234
209,EASTWOOD         ,"1/31 Railway Parade, Eastwood"                                   ,1            ,u             ,Apartment / Unit / Flat,550000.0  ,Private Treaty,Better Realty                                                ,16/05/2018,2122    ,17870     ,14.5             ,2       ,8     ,0           ,-33.78988          ,151.083054
210,EASTWOOD         ,"1/31 Railway Parade, Eastwood"                                   ,1            ,u             ,Apartment / Unit / Flat,550000.0  ,Private Treaty,Better Realty                                                ,16/05/2018,2122    ,17870     ,14.5             ,2       ,8     ,0           ,-33.78988          ,151.083054
211,ELIZABETH BAY    ,"11/94 Elizabeth Bay Road, Elizabeth Bay"                         ,2            ,u             ,Apartment / Unit / Flat,900000.0  ,Auction       ,Laing Real Estate                                            ,16/05/2018,2011    ,5215      ,1.9              ,0       ,0     ,0           ,-33.87172          ,151.22981299999998
212,ELIZABETH BAY    ,"11/94 Elizabeth Bay Road, Elizabeth Bay"                         ,2            ,u             ,Apartment / Unit / Flat,900000.0  ,Auction       ,Laing Real Estate                                            ,16/05/2018,2011    ,5215      ,1.9              ,0       ,0     ,0           ,-33.87172          ,151.22981299999998
213,EPPING           ,"203/1-5A Cliff  Road, Epping"                                    ,1            ,u             ,Apartment / Unit / Flat,640000.0  ,Private Treaty,Stone Real Estate Beecroft                                   ,16/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.7707329        ,151.078339
214,EPPING           ,"6/8-10 Angus Avenue, Epping"                                     ,2            ,h             ,Villa                  ,950000.0  ,Private Treaty,Cale Property Agents                                         ,16/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.775459999999995,151.066849
215,EPPING           ,"27/9 Crandon Road, Epping"                                       ,2            ,u             ,Apartment / Unit / Flat,845000.0  ,Private Treaty,McGrath Epping                                               ,16/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.772346500000005,151.08758500000002
216,EPPING           ,"203/1-5A Cliff  Road, Epping"                                    ,1            ,u             ,Apartment / Unit / Flat,640000.0  ,Private Treaty,Stone Real Estate Beecroft                                   ,16/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.7707329        ,151.078339
217,EPPING           ,"27/9 Crandon Road, Epping"                                       ,2            ,u             ,Apartment / Unit / Flat,845000.0  ,Private Treaty,McGrath Epping                                               ,16/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.772346500000005,151.08758500000002
218,EPPING           ,"6/8-10 Angus Avenue, Epping"                                     ,2            ,h             ,Villa                  ,950000.0  ,Private Treaty,Cale Property Agents                                         ,16/05/2018,2121    ,23691     ,15.6             ,0       ,8     ,0           ,-33.775459999999995,151.066849
219,FRENCHS FOREST   ,"4 Marcus Place, Frenchs Forest"                                  ,4            ,h             ,House                  ,1340000.0 ,Private Treaty,Stone Real Estate Seaforth                                   ,16/05/2018,2086    ,13476     ,13.0             ,1       ,5     ,0           ,-33.7459869        ,151.214233
220,FRENCHS FOREST   ,"57 Peacock Parade, Frenchs Forest"                               ,4            ,h             ,House                  ,1700000.0 ,others        ,Stone Real Estate Forest                                     ,16/05/2018,2086    ,13476     ,13.0             ,1       ,5     ,0           ,-33.7410164        ,151.206818
221,FRESHWATER       ,"45 McDonald Street, Freshwater"                                  ,3            ,h             ,House                  ,1740000.0 ,Private Treaty,Schwarz Real Estate                                          ,16/05/2018,2096    ,8862      ,15.0             ,0       ,4     ,0           ,-33.77258          ,151.2763
222,GLADESVILLE      ,"38 Western Crescent, Gladesville"                                ,4            ,h             ,House                  ,2075000.0 ,others        ,Belle Property Hunters Hill                                  ,16/05/2018,2111    ,11826     ,8.1              ,0       ,6     ,0           ,-33.8289948        ,151.12355
223,GLADESVILLE      ,"38 Western Crescent, Gladesville"                                ,4            ,h             ,House                  ,2075000.0 ,others        ,Belle Property Hunters Hill                                  ,16/05/2018,2111    ,11826     ,8.1              ,0       ,6     ,0           ,-33.8289948        ,151.12355
224,GLEBE            ,"12/81-83 ST Johns Road, Glebe"                                   ,1            ,u             ,Apartment / Unit / Flat,665000.0  ,Private Treaty,Wiseberry Enmore                                             ,16/05/2018,2037    ,11534     ,2.3              ,0       ,4     ,0           ,-33.88135          ,151.186
225,GLEBE            ,"48/75a Ross Street, Glebe"                                       ,1            ,u             ,Apartment / Unit / Flat,810000.0  ,Auction       ,BresicWhitney Glebe                                          ,16/05/2018,2037    ,11534     ,2.3              ,0       ,4     ,0           ,-33.8801842        ,151.181824
226,GLEBE            ,"12/81-83 St Johns Road, Glebe"                                   ,1            ,u             ,Apartment / Unit / Flat,665000.0  ,Private Treaty,Oxbridge                                                     ,16/05/2018,2037    ,11534     ,2.3              ,0       ,4     ,0           ,-33.88135          ,151.186
227,GLEBE            ,"12/81-83 ST Johns Road, Glebe"                                   ,1            ,u             ,Apartment / Unit / Flat,665000.0  ,Private Treaty,Wiseberry Enmore                                             ,16/05/2018,2037    ,11534     ,2.3              ,0       ,4     ,0           ,-33.88135          ,151.186
228,GLEBE            ,"48/75a Ross Street, Glebe"                                       ,1            ,u             ,Apartment / Unit / Flat,810000.0  ,Auction       ,BresicWhitney Glebe                                          ,16/05/2018,2037    ,11534     ,2.3              ,0       ,4     ,0           ,-33.8801842        ,151.181824
229,GLENMORE PARK    ,"55 Harwood Circuit, Glenmore Park"                               ,3            ,h             ,House                  ,680000.0  ,Private Treaty,Jim Aitken & Partners Glenmore Park                          ,16/05/2018,2745    ,23002     ,54.6             ,0       ,7     ,0           ,-33.7767334        ,150.669632
230,HABERFIELD       ,"278 Hawthorne Parade, Haberfield"                                ,4            ,h             ,House                  ,3200000.0 ,Auction       ,McGrath Leichhardt                                           ,16/05/2018,2045    ,6453      ,6.5              ,0       ,3     ,0           ,-33.8736           ,151.1491
231,HABERFIELD       ,"278 Hawthorne Parade, Haberfield"                                ,4            ,h             ,House                  ,3200000.0 ,Auction       ,McGrath Leichhardt                                           ,16/05/2018,2045    ,6453      ,6.5              ,0       ,3     ,0           ,-33.8736           ,151.1491
232,HORNSBY          ,"66/14 Pound  Road, Hornsby"                                      ,2            ,u             ,Apartment / Unit / Flat,702500.0  ,Auction       ,DiJones Real Estate North Shore                              ,16/05/2018,2077    ,22167     ,20.6             ,1       ,6     ,0           ,-33.70666          ,151.0981
233,HUNTERS HILL     ,"4 Augustine Street, Hunters Hill"                                ,3            ,h             ,House                  ,1805000.0 ,Auction       ,McGrath Hunters Hill                                         ,16/05/2018,2110    ,9529      ,6.3              ,0       ,5     ,0           ,-33.831474299999996,151.134247
234,HUNTERS HILL     ,"4 Augustine Street, Hunters Hill"                                ,3            ,h             ,House                  ,1805000.0 ,Auction       ,McGrath Hunters Hill                                         ,16/05/2018,2110    ,9529      ,6.3              ,0       ,5     ,0           ,-33.831474299999996,151.134247
235,HUNTLEYS COVE    ,"12/28 Mortimer Lewis Drive, Huntleys Cove"                       ,2            ,u             ,Apartment / Unit / Flat,1110000.0 ,Private Treaty,Belle Property Hunters Hill                                  ,16/05/2018,2111    ,748       ,6.5              ,0       ,0     ,0           ,-33.83917          ,151.13914499999998
236,HUNTLEYS COVE    ,"12/28 Mortimer Lewis Drive, Huntleys Cove"                       ,2            ,u             ,Apartment / Unit / Flat,1110000.0 ,Private Treaty,Belle Property Hunters Hill                                  ,16/05/2018,2111    ,748       ,6.5              ,0       ,0     ,0           ,-33.83917          ,151.13914499999998
237,LITTLE BAY       ,"106/1 Pavilion Drive, Little Bay"                                ,2            ,u             ,Apartment / Unit / Flat,1330000.0 ,others        ,PRDnationwide Perez Real Estate                              ,16/05/2018,2036    ,4477      ,13.1             ,0       ,0     ,0           ,-33.9791565        ,151.247818
238,LITTLE BAY       ,"106/1-3 Jenner Street, Little Bay"                               ,1            ,u             ,Apartment / Unit / Flat,1050000.0 ,Private Treaty,N G Farah Pty Ltd                                            ,16/05/2018,2036    ,4477      ,13.1             ,0       ,0     ,0           ,-33.9787369        ,151.2451
239,MAROUBRA         ,"51 Storey Street, Maroubra"                                      ,2            ,h             ,House                  ,1420000.0 ,others        ,Century 21 Eastern Beaches Maroubra                          ,16/05/2018,2035    ,30686     ,9.4              ,0       ,7     ,0           ,-33.93612          ,151.233429
240,MAROUBRA         ,"99 Paine Street, Maroubra"                                       ,4            ,h             ,House                  ,1800000.0 ,Auction       ,LJ Hooker Brighton-Le-Sands/ Sans Souci                      ,16/05/2018,2035    ,30686     ,9.4              ,0       ,7     ,0           ,-33.9430351        ,151.2351
241,MILLERS POINT    ,"5-7 High  Street, Millers Point"                                 ,12           ,Block of Units,Block of Units         ,5605000.0 ,Auction       ,McGrath Millers Point                                        ,16/05/2018,2000    ,1485      ,1.0              ,0       ,0     ,0           ,-33.8612251        ,151.203217
242,MILLERS POINT    ,"5-7 High  Street, Millers Point"                                 ,12           ,Block of Units,Block of Units         ,5605000.0 ,Auction       ,McGrath Millers Point                                        ,16/05/2018,2000    ,1485      ,1.0              ,0       ,0     ,0           ,-33.8612251        ,151.203217
243,MILLERS POINT    ,"5-7 High  Street, Millers Point"                                 ,12           ,Block of Units,Block of Units         ,5605000.0 ,Auction       ,McGrath Millers Point                                        ,16/05/2018,2000    ,1485      ,1.0              ,0       ,0     ,0           ,-33.8612251        ,151.203217
244,MILLERS POINT    ,"5-7 High  Street, Millers Point"                                 ,12           ,Block of Units,Block of Units         ,5605000.0 ,Auction       ,McGrath Millers Point                                        ,16/05/2018,2000    ,1485      ,1.0              ,0       ,0     ,0           ,-33.8612251        ,151.203217
245,MILLERS POINT    ,"5-7 High  Street, Millers Point"                                 ,12           ,Block of Units,Block of Units         ,5605000.0 ,Auction       ,McGrath Millers Point                                        ,16/05/2018,2000    ,1485      ,1.0              ,0       ,0     ,0           ,-33.8612251        ,151.203217
246,NAREMBURN        ,"16/2A Palmer Street, Naremburn"                                  ,3            ,u             ,Apartment / Unit / Flat,1400000.0 ,Auction       ,Di Jones Lower North Shore                                   ,16/05/2018,2065    ,5887      ,5.6              ,0       ,1     ,0           ,-33.8195839        ,151.2052
247,NEUTRAL BAY      ,"7/76 Merlin Street, Neutral Bay"                                 ,2            ,u             ,Apartment / Unit / Flat,1246900.0 ,Private Treaty,Di Jones Lower North Shore                                   ,16/05/2018,2089    ,10483     ,4.2              ,0       ,2     ,0           ,-33.8283844        ,151.215256
248,PADDINGTON       ,"348 South Dowling Street, Paddington"                            ,2            ,h             ,House                  ,1250000.0 ,Private Treaty,BresicWhitney Darlinghurst                                   ,16/05/2018,2021    ,12909     ,2.7              ,0       ,4     ,0           ,-33.884113299999996,151.21861299999998
249,PADDINGTON       ,"22 Cambridge  Street, Paddington"                                ,3            ,h             ,House                  ,3100000.0 ,others        ,Phillips Pantzer Donnelley                                   ,16/05/2018,2021    ,12909     ,2.7              ,0       ,4     ,0           ,-33.88102          ,151.23053000000002
250,PADDINGTON       ,"75 Windsor Street, Paddington"                                   ,2            ,h             ,House                  ,2305000.0 ,Auction       ,DiJones Real Estate Eastern Suburbs                          ,16/05/2018,2021    ,12909     ,2.7              ,0       ,4     ,0           ,-33.8854141        ,151.233566
251,PAGEWOOD         ,"39/15 Begonia Street, Pagewood"                                  ,3            ,t             ,Townhouse              ,1290000.0 ,Auction       ,Harcourts Byrnes Marsh Shaw                                  ,16/05/2018,2035    ,3802      ,8.3              ,0       ,1     ,0           ,-33.94059          ,151.206482
252,PENRITH          ,"21 Hillcrest Avenue, Penrith"                                    ,3            ,h             ,House                  ,535000.0  ,Private Treaty,Response Real Estate Penrith                                 ,16/05/2018,2750    ,13295     ,49.2             ,1       ,7     ,0           ,-33.743866         ,150.706741
253,PENRITH          ,"132/37 Mulgoa Road, Penrith"                                     ,2            ,u             ,Apartment / Unit / Flat,269000.0  ,Private Treaty,Jim Aitken & Partners Penrith                                ,16/05/2018,2750    ,13295     ,49.2             ,1       ,7     ,0           ,-33.7543           ,150.68606599999998
254,PETERSHAM        ,"101/1 Phillip Street, Petersham"                                 ,1            ,u             ,Studio                 ,425000.0  ,Private Treaty,Belle Property Annandale                                     ,16/05/2018,2049    ,8115      ,5.9              ,0       ,4     ,0           ,-33.888073         ,151.1609
255,POINT PIPER      ,"6/8 Wentworth Street, Point Piper"                               ,3            ,u             ,Apartment / Unit / Flat,4400000.0 ,Private Treaty,Ray White Double Bay                                         ,16/05/2018,2027    ,1418      ,4.2              ,0       ,0     ,0           ,-33.866905200000005,151.250946
256,PYMBLE           ,"8 Narelle Avenue, Pymble"                                        ,5            ,h             ,House                  ,2755000.0 ,Auction       ,Chadwick Real Estate Turramurra                              ,16/05/2018,2073    ,11056     ,15.0             ,0       ,5     ,0           ,-33.746967299999994,151.15126
257,ROSE BAY         ,"4 Chaleyer Street, Rose Bay"                                     ,4            ,h             ,House                  ,2900000.0 ,Auction       ,Ray White Double Bay                                         ,16/05/2018,2029    ,10051     ,5.7              ,0       ,6     ,0           ,-33.876724200000005,151.272125
258,ROSEVILLE        ,"26/2-14 Pacific Highway (rear of the block), Roseville"          ,2            ,u             ,Apartment / Unit / Flat,880000.0  ,Private Treaty,LY Century Property Services                                 ,16/05/2018,2069    ,10085     ,9.6              ,0       ,2     ,0           ,-33.78723          ,151.178375
259,RUSHCUTTERS BAY  ,"302/72 Bayswater Road, Rushcutters Bay"                          ,1            ,u             ,Apartment / Unit / Flat,1150000.0 ,others        ,Phillips Pantzer Donnelley                                   ,16/05/2018,2011    ,2547      ,2.2              ,0       ,0     ,0           ,-33.876059999999995,151.227051
260,RUSHCUTTERS BAY  ,"302/72 Bayswater Road, Rushcutters Bay"                          ,1            ,u             ,Apartment / Unit / Flat,1150000.0 ,others        ,Phillips Pantzer Donnelley                                   ,16/05/2018,2011    ,2547      ,2.2              ,0       ,0     ,0           ,-33.876059999999995,151.227051
261,RYDALMERE        ,"46 Primrose Avenue, Rydalmere"                                   ,2            ,h             ,House                  ,1050000.0 ,Private Treaty,Professionals Ermington                                      ,16/05/2018,2116    ,6640      ,16.4             ,0       ,2     ,0           ,-33.818077100000004,151.050171
262,RYDE             ,"B5001/16 Constitution Road, Ryde"                                ,1            ,u             ,Apartment / Unit / Flat,615000.0  ,Private Treaty,Ray White Rhodes                                             ,16/05/2018,2112    ,26501     ,11.2             ,1       ,9     ,0           ,-33.8188744        ,151.095444
263,RYDE             ,"277 Quarry Road, Ryde"                                           ,3            ,h             ,House                  ,1170800.0 ,Private Treaty,Snowden Parkes Real Estate                                   ,16/05/2018,2112    ,26501     ,11.2             ,1       ,9     ,0           ,-33.7968674        ,151.10433999999998
