,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Distance,Council Area,Population,Schools,Hospitals,Sports facilities,Woolies,Coles
172,Brunswick West,201 Hope St,2,h,711000.0,S,Nelson,16-04-2016,3055,Northern Metropolitan,5.2,Moreland City Council,14159,4,0,8,0,0
173,Brunswick West,7 Zeal St,2,h,910000.0,S,Raine,16-04-2016,3055,Northern Metropolitan,5.2,Moreland City Council,14159,4,0,8,0,0
174,Bulleen,7 Ronald Av,4,h,1298000.0,S,Barry,16-04-2016,3105,Eastern Metropolitan,10.8,Manningham City Council,10873,4,0,19,1,1
175,Bulleen,71 Summit Dr,4,h,1000000.0,VB,hockingstuart,16-04-2016,3105,Eastern Metropolitan,10.8,Manningham City Council,10873,4,0,19,1,1
176,Bundoora,9 Bendoran Cr,4,h,630000.0,SP,Barry,16-04-2016,3083,Northern Metropolitan,12.1,Banyule City Council,28653,9,5,47,1,1
177,Bundoora,40 David Cr,3,h,575000.0,S,Barry,16-04-2016,3083,Northern Metropolitan,12.1,Banyule City Council,28653,9,5,47,1,1
178,Bundoora,26 Noorong Av,3,h,630000.0,S,Ray,16-04-2016,3083,Northern Metropolitan,12.1,Banyule City Council,28653,9,5,47,1,1
179,Burnley,92 Madden Gr,2,h,881000.0,SP,Jellis,16-04-2016,3121,Northern Metropolitan,2.4,Yarra City Council,769,9,2,47,0,0
180,Burwood,29 Meldan St,2,h,1350000.0,S,Fletchers,16-04-2016,3125,Southern Metropolitan,10.4,Monash City Council,15019,5,0,22,0,0
181,Camberwell,4 Ada St,3,h,2250000.0,S,O'Donoghues,16-04-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
182,Camberwell,591 Camberwell Rd,2,h,895000.0,PI,O'Donoghues,16-04-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
183,Camberwell,5 Cooloongatta Rd,3,h,1800000.0,SP,Marshall,16-04-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
184,Camberwell,5 Nicholsdale Rd,4,h,1400000.0,PI,Jellis,16-04-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
185,Camberwell,110 Rowell Av,3,h,2200000.0,PI,Noel,16-04-2016,3124,Southern Metropolitan,7.7,Boroondara City Council,22081,4,1,19,1,1
186,Carlton North,1018 Drummond St,4,h,2520000.0,S,Nelson,16-04-2016,3054,Northern Metropolitan,3.5,Melbourne City Council,6300,3,0,1,0,0
187,Carlton North,354 Station St,3,h,1214000.0,S,Nelson,16-04-2016,3054,Northern Metropolitan,3.5,Melbourne City Council,6300,3,0,1,0,0
188,Carnegie,25 Arawatta St,2,h,817500.0,S,Jellis,16-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
189,Carnegie,48 Lyons St,4,h,1450000.0,PI,Ray,16-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
190,Carnegie,51 Mimosa Rd,3,h,1000000.0,PI,Ray,16-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
191,Carnegie,2/79 Mimosa Rd,2,t,855000.0,S,Gary,16-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
192,Carnegie,2/61 Moonya Rd,2,h,675000.0,S,Gary,16-04-2016,3163,Southern Metropolitan,10.1,Glen Eira City Council,17388,5,0,28,0,0
193,Carrum Downs,1 Blossom Wy,3,h,390000.0,S,Munn,16-04-2016,3201,South-Eastern Metropolitan,34.9,Frankston City Council,20711,5,0,14,1,1
194,Caulfield,40 Snowdon Av,4,h,1220000.0,S,Gary,16-04-2016,3162,Southern Metropolitan,8.7,Glen Eira City Council,5595,5,4,33,1,1
195,Caulfield South,28 Ellington St,4,h,1960000.0,PI,hockingstuart,16-04-2016,3162,Southern Metropolitan,8.7,Glen Eira City Council,11854,5,4,33,0,0
196,Caulfield South,23 Lygon St,2,h,825000.0,S,Gary,16-04-2016,3162,Southern Metropolitan,8.7,Glen Eira City Council,11854,5,4,33,0,0
197,Caulfield South,136 Sycamore St,2,h,1262000.0,S,hockingstuart,16-04-2016,3162,Southern Metropolitan,8.7,Glen Eira City Council,11854,5,4,33,0,0
198,Cheltenham,1/92 Devon St,3,t,805000.0,S,OBrien,16-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
199,Cheltenham,1/24 Jean St,3,t,850000.0,PI,hockingstuart,16-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
200,Cheltenham,21 Paul St,3,h,1280000.0,S,Buxton,16-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
201,Cheltenham,3/8 Stuart Av,2,u,665000.0,S,J,16-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
202,Cheltenham,10 Ward St,3,h,795000.0,S,Ray,16-04-2016,3192,Southern Metropolitan,17.9,Bayside City Council,22291,5,1,23,0,0
203,Clarinda,54 Viney St,3,h,730000.0,S,Century,16-04-2016,3169,South-Eastern Metropolitan,17.5,Kingston City Council,7481,6,0,13,0,0
204,Clayton,2/1416 North Rd,4,t,725000.0,S,Buxton,16-04-2016,3168,South-Eastern Metropolitan,16.7,Monash City Council,19358,2,6,26,1,2
205,Clayton South,1/30 Bevan Av,4,t,599999.0,PI,Fletchers,16-04-2016,3169,South-Eastern Metropolitan,17.5,Kingston City Council,12642,6,0,13,0,0
206,Clayton South,43 Ester Cr,3,h,635000.0,S,Century,16-04-2016,3169,South-Eastern Metropolitan,17.5,Kingston City Council,12642,6,0,13,0,0
207,Clayton South,49 Glenmorgan Cl,3,h,710000.0,S,LJ,16-04-2016,3169,South-Eastern Metropolitan,17.5,Kingston City Council,12642,6,0,13,0,0
208,Coburg,12 Gordon St,4,h,865000.0,S,Brad,16-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
209,Coburg,11/5 Industry La,2,u,485000.0,VB,Nelson,16-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
210,Coburg,12 Lascelles St,3,h,765000.0,S,Nelson,16-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,26185,12,2,33,1,2
211,Coburg North,31 Camera Wk,2,t,460000.0,PI,Stockdale,16-04-2016,3058,Northern Metropolitan,6.7,Darebin City Council,7601,12,2,33,1,1
212,Collingwood,84 Budd St,3,h,1075000.0,S,hockingstuart,16-04-2016,3066,Northern Metropolitan,2.0,Yarra City Council,8513,2,0,3,1,1
213,Collingwood,38/99 Oxford St,3,u,1470000.0,S,Nelson,16-04-2016,3066,Northern Metropolitan,2.0,Yarra City Council,8513,2,0,3,1,1
214,Craigieburn,3 Distinction Av,4,h,520000.0,VB,Ray,16-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
215,Craigieburn,9 Emerald Cct,4,h,445000.0,S,hockingstuart,16-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
216,Craigieburn,6 Gunning La,3,h,341000.0,S,Ray,16-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
217,Craigieburn,30 Jonesfield St,3,h,415000.0,SP,LJ,16-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
218,Craigieburn,36 Mallacoota Wy,4,h,510000.0,SP,LJ,16-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
219,Craigieburn,17 Mittagong Ri,3,h,463000.0,S,Ray,16-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,50347,17,1,43,1,1
220,Croydon,6 Boyana Cr,5,h,760000.0,PI,Fletchers,16-04-2016,3136,Eastern Metropolitan,23.0,Maroondah City Council,26946,12,1,56,1,1
221,Croydon North,5 Moss Ct,4,h,705000.0,S,Carter,16-04-2016,3136,Eastern Metropolitan,23.0,Maroondah City Council,7860,12,1,56,1,1
222,Dandenong North,197 Outlook Dr,3,h,600000.0,S,Hodges,16-04-2016,3175,South-Eastern Metropolitan,24.7,Greater Dandenong City Council,22451,15,5,47,0,0
223,Diamond Creek,9 Dover Ct,3,h,550000.0,SP,Mason,16-04-2016,3089,Northern Victoria,21.8,Nillumbik Shire Council,11733,5,0,22,1,1
224,Dingley Village,18 Greenwoods Cl,4,h,691000.0,SP,Ray,16-04-2016,3172,South-Eastern Metropolitan,22.2,Kingston City Council,10320,7,0,15,0,0
225,Dingley Village,2 Wheatland Cr,4,h,912000.0,S,Ray,16-04-2016,3172,South-Eastern Metropolitan,22.2,Kingston City Council,10320,7,0,15,0,0
226,Doncaster,19 Gilmore Rd,3,h,1485000.0,S,Barry,16-04-2016,3108,Eastern Metropolitan,12.4,Manningham City Council,20946,4,0,18,1,2
227,Doncaster,22 Menarra St,3,h,1190000.0,S,Ray,16-04-2016,3108,Eastern Metropolitan,12.4,Manningham City Council,20946,4,0,18,1,2
228,Doncaster East,8 Balinga Ct,5,h,1150000.0,VB,Jellis,16-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
229,Doncaster East,39 Brindy Cr,3,h,720000.0,PI,hockingstuart,16-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
230,Doncaster East,4 Kent Ct,4,h,1100000.0,PI,Barry,16-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
231,Doncaster East,1/5 Maude Av,2,u,645000.0,S,Fletchers,16-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
232,Doncaster East,62 Morna Rd,3,h,945000.0,S,Jellis,16-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
233,Doncaster East,56 Owens St,4,h,1060000.0,PI,Barry,16-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
234,Doncaster East,15 Tidcombe Cr,4,h,880000.0,PI,Fletchers,16-04-2016,3109,Eastern Metropolitan,14.3,Manningham City Council,28360,7,1,17,0,0
235,Donvale,70 Carbine St,4,h,1075000.0,PI,Ray,16-04-2016,3111,Eastern Metropolitan,16.1,Manningham City Council,12347,4,0,16,1,1
236,Donvale,1/4 Craileen St,3,u,662500.0,S,Jellis,16-04-2016,3111,Eastern Metropolitan,16.1,Manningham City Council,12347,4,0,16,1,1
237,Donvale,2/45 Leslie St,2,u,585000.0,PI,Barry,16-04-2016,3111,Eastern Metropolitan,16.1,Manningham City Council,12347,4,0,16,1,1
238,Donvale,1/201 Mitcham Rd,2,u,568000.0,S,Barry,16-04-2016,3111,Eastern Metropolitan,16.1,Manningham City Council,12347,4,0,16,1,1
239,Edithvale,105 Berry Av,3,h,958000.0,S,Biggin,16-04-2016,3196,South-Eastern Metropolitan,27.0,Kingston City Council,5806,5,1,31,0,0
240,Edithvale,24 Hughes Av,3,h,890000.0,S,Mitchell,16-04-2016,3196,South-Eastern Metropolitan,27.0,Kingston City Council,5806,5,1,31,0,0
241,Edithvale,2/33 Lochiel Av,2,u,580000.0,S,hockingstuart,16-04-2016,3196,South-Eastern Metropolitan,27.0,Kingston City Council,5806,5,1,31,0,0
242,Edithvale,28 Tudor Ct,3,u,580000.0,S,hockingstuart/hockingstuart,16-04-2016,3196,South-Eastern Metropolitan,27.0,Kingston City Council,5806,5,1,31,0,0
243,Elsternwick,3/477 Kooyong Rd,3,t,1071000.0,S,Biggin,16-04-2016,3185,Southern Metropolitan,7.2,Glen Eira City Council,10349,5,2,7,1,1
244,Elsternwick,21 Liscard St,3,h,1800000.0,S,Biggin,16-04-2016,3185,Southern Metropolitan,7.2,Glen Eira City Council,10349,5,2,7,1,1
245,Elsternwick,5/16 St Georges Rd,2,u,741000.0,S,Biggin,16-04-2016,3185,Southern Metropolitan,7.2,Glen Eira City Council,10349,5,2,7,1,1
246,Eltham,181 Pitt St,3,h,950000.0,SP,Fletchers,16-04-2016,3095,Eastern Metropolitan,18.0,Banyule City Council,18314,11,0,32,1,1
247,Elwood,17 Addison St,3,h,1700000.0,S,Chisholm,16-04-2016,3184,Southern Metropolitan,7.2,Port Phillip City Council,15543,4,1,9,0,0
248,Elwood,5/15 Dickens St,2,u,686000.0,S,hockingstuart,16-04-2016,3184,Southern Metropolitan,7.2,Port Phillip City Council,15543,4,1,9,0,0
249,Elwood,2/21 Milton St,2,u,560000.0,PI,Jellis,16-04-2016,3184,Southern Metropolitan,7.2,Port Phillip City Council,15543,4,1,9,0,0
250,Elwood,4/41 Shelley St,2,u,765000.0,S,Marshall,16-04-2016,3184,Southern Metropolitan,7.2,Port Phillip City Council,15543,4,1,9,0,0
251,Epping,11 Lancia Ct,4,h,480000.0,PI,C21,16-04-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
252,Epping,1/18 Wynnette Ct,3,u,382000.0,S,Harcourts,16-04-2016,3076,Northern Metropolitan,19.6,Whittlesea City Council,32395,11,2,30,1,1
253,Essendon,9a Ballater St,2,u,800000.0,S,Paul,16-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
254,Essendon,2 Cooke St,5,h,1575000.0,PI,Brad,16-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
255,Essendon,9/160 Napier St,1,u,280000.0,SP,Pagan,16-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
256,Essendon,211 Napier St,4,h,1467000.0,S,Brad,16-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
257,Essendon,11 Raleigh St,3,h,770000.0,S,Brad,16-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
258,Essendon,15/18 Raleigh St,2,u,446000.0,S,Nelson,16-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
259,Essendon,20 Warner St,2,h,890000.0,PI,Nelson,16-04-2016,3040,Western Metropolitan,7.5,Moonee Valley City Council,20596,10,1,28,1,1
260,Fawkner,62 Dowding Cl,4,h,615000.0,S,Stockdale,16-04-2016,3060,Northern Metropolitan,13.1,Hume City Council,14043,6,0,12,0,0
261,Fitzroy,258 Napier St,3,h,2200000.0,VB,Nelson,16-04-2016,3065,Northern Metropolitan,2.1,Yarra City Council,10445,4,3,29,1,1
262,Fitzroy North,111 Best St,3,h,1275000.0,SP,Nelson,16-04-2016,3068,Northern Metropolitan,3.6,Moreland City Council,12339,8,0,14,0,0
263,Fitzroy North,282 Glenlyon Rd,3,h,1141000.0,S,Nelson,16-04-2016,3068,Northern Metropolitan,3.6,Moreland City Council,12339,8,0,14,0,0
264,Flemington,250 Pinoak Cr,3,h,815000.0,S,Nelson,16-04-2016,3031,Northern Metropolitan,3.4,Melbourne City Council,7719,7,0,3,1,1
265,Footscray,105/72 Cross St,1,u,375000.0,S,Biggin,16-04-2016,3011,Western Metropolitan,5.1,Maribyrnong City Council,16345,5,8,28,1,1
266,Footscray,6/63 Everard St,2,u,615000.0,S,Sweeney,16-04-2016,3011,Western Metropolitan,5.1,Maribyrnong City Council,16345,5,8,28,1,1
267,Frankston,11 Barwon Av,5,h,680000.0,SP,LJ,16-04-2016,3199,South-Eastern Metropolitan,38.0,Frankston City Council,36097,19,7,79,1,1
268,Frankston,25 Franciscan Av,4,h,461000.0,SP,U,16-04-2016,3199,South-Eastern Metropolitan,38.0,Frankston City Council,36097,19,7,79,1,1
269,Frankston,256 Heatherhill Rd,3,h,435000.0,S,Community,16-04-2016,3199,South-Eastern Metropolitan,38.0,Frankston City Council,36097,19,7,79,1,1
270,Gladstone Park,55 Snaefell Cr,4,h,605000.0,S,YPA,16-04-2016,3043,Western Metropolitan,12.9,Hume City Council,8338,5,0,30,0,0
271,Glen Waverley,34 Angus Dr,4,h,1325000.0,S,Barry,16-04-2016,3150,Eastern Metropolitan,16.7,Monash City Council,40327,21,2,51,0,0
272,Glen Waverley,2/32 Wilson Rd,3,u,846000.0,S,Ray,16-04-2016,3150,Eastern Metropolitan,16.7,Monash City Council,40327,21,2,51,0,0
273,Glen Waverley,123 Windella Cr,3,h,920000.0,S,Barry,16-04-2016,3150,Eastern Metropolitan,16.7,Monash City Council,40327,21,2,51,0,0
274,Glenroy,20 Tarana Av,3,t,545000.0,SP,Brad,16-04-2016,3046,Northern Metropolitan,11.2,Moreland City Council,22245,12,0,26,1,1
275,Glenroy,64 Valley Cr,3,h,570000.0,PI,Barry,16-04-2016,3046,Northern Metropolitan,11.2,Moreland City Council,22245,12,0,26,1,1
276,Gowanbrae,3 Gowanbrae Dr,3,h,700000.0,SP,Nelson,16-04-2016,3043,Western Metropolitan,12.9,Moreland City Council,2773,5,0,30,0,0
277,Gowanbrae,42 Seggan Cir,3,h,485000.0,S,Nelson,16-04-2016,3043,Western Metropolitan,12.9,Moreland City Council,2773,5,0,30,0,0
278,Greensborough,9 Beewar St,3,h,780000.0,S,Coventry,16-04-2016,3088,Northern Metropolitan,16.1,Banyule City Council,20821,11,1,30,1,1
279,Greensborough,19 Hamlet St,3,h,760000.0,S,Buckingham,16-04-2016,3088,Northern Metropolitan,16.1,Banyule City Council,20821,11,1,30,1,1
280,Greensborough,8 Phillip Ct,4,h,820000.0,S,Buckingham,16-04-2016,3088,Northern Metropolitan,16.1,Banyule City Council,20821,11,1,30,1,1
281,Greenvale,17 Bridlington Dr,5,h,751500.0,S,Jason,16-04-2016,3059,Northern Metropolitan,20.4,Hume City Council,15466,3,0,12,1,1
282,Greenvale,32 Buttercup Dr,4,h,563000.0,S,YPA,16-04-2016,3059,Northern Metropolitan,20.4,Hume City Council,15466,3,0,12,1,1
283,Greenvale,2/6 Wallace Dr,3,h,450000.0,S,Evolve,16-04-2016,3059,Northern Metropolitan,20.4,Hume City Council,15466,3,0,12,1,1
284,Hadfield,1/22 Volga St,3,t,510000.0,PI,Raine,16-04-2016,3046,Northern Metropolitan,11.2,Moreland City Council,5610,12,0,26,0,0
285,Hampton East,33 Widdop Cr,3,h,1225000.0,S,Buxton,16-04-2016,3188,Southern Metropolitan,13.8,Bayside City Council,4689,2,1,19,0,0
286,Hawthorn,4 Ardene Ct,5,h,3950000.0,S,Jellis,16-04-2016,3122,Southern Metropolitan,5.3,Boroondara City Council,23511,8,2,27,0,0
287,Hawthorn East,16/36 Anderson Rd,3,u,735000.0,S,Noel,16-04-2016,3123,Southern Metropolitan,6.2,Boroondara City Council,14321,5,1,17,0,0
288,Hawthorn East,5 Nicholson St,4,h,2920000.0,S,Marshall,16-04-2016,3123,Southern Metropolitan,6.2,Boroondara City Council,14321,5,1,17,0,0
289,Heidelberg,13 Edgar St,3,h,750000.0,VB,Nelson,16-04-2016,3084,Eastern Metropolitan,8.9,Banyule City Council,6225,9,3,20,0,0
290,Heidelberg,50 Manton St,4,h,1115000.0,S,Miles,16-04-2016,3084,Eastern Metropolitan,8.9,Banyule City Council,6225,9,3,20,0,0
291,Heidelberg Heights,8 Leonard St,5,h,890000.0,S,hockingstuart,16-04-2016,3081,Eastern Metropolitan,8.8,Banyule City Council,6087,2,2,19,0,0
292,Heidelberg West,23 Catalina St,2,h,620000.0,PI,Ray,16-04-2016,3081,Eastern Metropolitan,8.8,Banyule City Council,5545,2,2,19,0,0
293,Heidelberg West,2 Pandanus Ct,2,h,497500.0,SP,Miles,16-04-2016,3081,Eastern Metropolitan,8.8,Banyule City Council,5545,2,2,19,0,0
294,Heidelberg West,15/459 Waterdale Rd,2,u,360000.0,SP,Miles,16-04-2016,3081,Eastern Metropolitan,8.8,Banyule City Council,5545,2,2,19,0,0
295,Highett,34a Gilarth St,4,h,1206000.0,S,Woodards,16-04-2016,3190,Southern Metropolitan,16.0,Bayside City Council,10454,1,0,15,0,0
296,Highett,21 Jackson Rd,3,h,921000.0,S,Hodges,16-04-2016,3190,Southern Metropolitan,16.0,Bayside City Council,10454,1,0,15,0,0
297,Highett,39a Miller St,3,t,705000.0,S,Buxton,16-04-2016,3190,Southern Metropolitan,16.0,Bayside City Council,10454,1,0,15,0,0
298,Highett,24a Tibrockney St,3,t,1235000.0,S,Buxton,16-04-2016,3190,Southern Metropolitan,16.0,Bayside City Council,10454,1,0,15,0,0
299,Hillside,18 Castlewellan Bvd,7,h,850000.0,PI,Barry,16-04-2016,3037,Western Metropolitan,18.0,Brimbank City Council,193,8,1,17,0,0
300,Hillside,6 Queens Pde,5,h,685000.0,S,Ray,16-04-2016,3037,Western Metropolitan,18.0,Brimbank City Council,193,8,1,17,0,0
301,Hillside,12 Tormorvey Av,4,h,460000.0,SP,Barry,16-04-2016,3037,Western Metropolitan,18.0,Brimbank City Council,193,8,1,17,0,0
302,Hughesdale,3/14 Rugby Rd,2,u,455000.0,S,Fletchers,16-04-2016,3166,Southern Metropolitan,12.3,Monash City Council,7556,7,0,43,0,0
303,Huntingdale,47 Greville St,3,h,936000.0,S,Hodges,16-04-2016,3166,Southern Metropolitan,12.3,Monash City Council,1862,7,0,43,0,0
304,Ivanhoe,3/16 Elphin St,1,u,420000.0,SP,Miles,16-04-2016,3079,Eastern Metropolitan,7.8,Banyule City Council,12171,6,2,24,1,1
305,Ivanhoe,3/24 Green St,3,t,750000.0,S,Barry,16-04-2016,3079,Eastern Metropolitan,7.8,Banyule City Council,12171,6,2,24,1,1
306,Ivanhoe,5/125 Locksley Rd,2,u,460000.0,VB,Fletchers,16-04-2016,3079,Eastern Metropolitan,7.8,Banyule City Council,12171,6,2,24,1,1
307,Jacana,11/1051 Pascoe Vale Rd,2,u,280000.0,PI,Raine,16-04-2016,3047,Northern Metropolitan,14.0,Hume City Council,2128,13,1,31,0,0
308,Jacana,108 Sunset Bvd,3,h,425000.0,S,Barry,16-04-2016,3047,Northern Metropolitan,14.0,Hume City Council,2128,13,1,31,0,0
309,Keilor,21 Barwon Av,3,h,530000.0,SP,Brad,16-04-2016,3036,Western Metropolitan,14.5,Brimbank City Council,5853,3,1,12,1,1
310,Keilor Downs,50 Dongola Rd,4,h,470000.0,S,Brad,16-04-2016,3038,Western Metropolitan,15.5,Brimbank City Council,9995,7,0,13,0,0
311,Keilor East,1/19 Berembong Dr,3,t,570000.0,VB,Nelson,16-04-2016,3033,Western Metropolitan,11.7,Brimbank City Council,14514,2,0,17,0,0
312,Keilor East,564 Buckley St,3,h,630000.0,S,Nelson,16-04-2016,3033,Western Metropolitan,11.7,Brimbank City Council,14514,2,0,17,0,0
313,Keilor East,48 Fawkner Cr,3,h,780000.0,S,Brad,16-04-2016,3033,Western Metropolitan,11.7,Brimbank City Council,14514,2,0,17,0,0
314,Keilor East,26 Heather Av,5,h,762000.0,SP,Nelson,16-04-2016,3033,Western Metropolitan,11.7,Brimbank City Council,14514,2,0,17,0,0
315,Keilor East,13 Pennington St,4,h,835000.0,S,Nelson,16-04-2016,3033,Western Metropolitan,11.7,Brimbank City Council,14514,2,0,17,0,0
316,Keilor East,1/31 Surrey Dr,3,t,705000.0,S,Barry,16-04-2016,3033,Western Metropolitan,11.7,Brimbank City Council,14514,2,0,17,0,0
317,Kensington,14 Altona St,2,t,812000.0,SP,Rendina,16-04-2016,3031,Northern Metropolitan,3.4,Melbourne City Council,10812,7,0,3,0,0
318,Kew,178 Peel St,5,h,2650000.0,VB,Marshall,16-04-2016,3101,Southern Metropolitan,5.4,Boroondara City Council,24605,11,5,13,1,1
319,Kew,11/6 Swinton Av,2,u,950000.0,S,Marshall,16-04-2016,3101,Southern Metropolitan,5.4,Boroondara City Council,24605,11,5,13,1,1
320,Kew,2/147 Willsmere Rd,3,h,972500.0,S,Jellis,16-04-2016,3101,Southern Metropolitan,5.4,Boroondara City Council,24605,11,5,13,1,1
321,Kew East,62 Munro St,4,h,2081000.0,S,Nelson,16-04-2016,3102,Southern Metropolitan,7.3,Boroondara City Council,6635,3,1,13,0,0
322,Keysborough,7 Silvercrest Ct,5,h,1080000.0,S,Ray,16-04-2016,3173,South-Eastern Metropolitan,25.2,Greater Dandenong City Council,25785,6,0,33,1,1
323,Kilsyth,33 Glendale Ct,3,h,592000.0,S,Stockdale,16-04-2016,3137,Eastern Metropolitan,26.0,Maroondah City Council,10891,4,0,18,1,1
324,Lalor,9 Childs Rd,3,h,510000.0,S,Love,16-04-2016,3075,Northern Metropolitan,16.3,Whittlesea City Council,22594,8,0,14,1,1
325,Lalor,93 Cyprus St,3,h,540000.0,S,Barry,16-04-2016,3075,Northern Metropolitan,16.3,Whittlesea City Council,22594,8,0,14,1,1
326,Lalor,11 Donovan St,4,h,550000.0,S,Love,16-04-2016,3075,Northern Metropolitan,16.3,Whittlesea City Council,22594,8,0,14,1,1
327,Lower Plenty,5 Edwards St,4,h,910000.0,S,Fletchers,16-04-2016,3093,Eastern Metropolitan,14.6,Banyule City Council,3891,1,0,5,0,0
328,Lower Plenty,11 Rangeview Rd,4,h,900000.0,S,Buckingham,16-04-2016,3093,Eastern Metropolitan,14.6,Banyule City Council,3891,1,0,5,0,0
329,MacLeod,5 Wungan St,3,h,555000.0,SP,Miles,16-04-2016,3085,Northern Metropolitan,12.7,Banyule City Council,9769,3,0,22,0,0
330,Maidstone,48/48 Eucalyptus Dr,2,u,349000.0,PI,hockingstuart,16-04-2016,3012,Western Metropolitan,6.4,Maribyrnong City Council,9032,6,0,29,0,0
331,Malvern,14 Woodmason St,3,h,1437000.0,S,hockingstuart,16-04-2016,3144,Southern Metropolitan,5.9,Stonnington City Council,10066,4,5,27,1,1
332,Malvern East,102 Manning Rd,4,h,1690000.0,S,Marshall,16-04-2016,3145,Southern Metropolitan,8.4,Stonnington City Council,21707,6,1,31,0,0
333,Malvern East,6 Ramona Av,3,h,1320000.0,PI,Fletchers,16-04-2016,3145,Southern Metropolitan,8.4,Stonnington City Council,21707,6,1,31,0,0
334,Maribyrnong,112 Edgewater Bvd,3,t,865000.0,PI,Clairmont,16-04-2016,3032,Western Metropolitan,4.3,Maribyrnong City Council,12216,6,1,25,0,0
335,Maribyrnong,42/2 Horizon Dr,2,u,488000.0,S,Barry,16-04-2016,3032,Western Metropolitan,4.3,Maribyrnong City Council,12216,6,1,25,0,0
336,Maribyrnong,5 Lyric St,4,h,940000.0,S,GL,16-04-2016,3032,Western Metropolitan,4.3,Maribyrnong City Council,12216,6,1,25,0,0
337,Maribyrnong,3/26 Middle Rd,2,t,570000.0,S,Jas,16-04-2016,3032,Western Metropolitan,4.3,Maribyrnong City Council,12216,6,1,25,0,0
338,Melbourne,1104/582 St Kilda Rd,2,u,750000.0,PI,Kay,16-04-2016,3000,Northern Metropolitan,0.0,Melbourne City Council,47285,3,2,5,0,0
339,Mentone,12/78 Beach Rd,2,t,680000.0,S,hockingstuart,16-04-2016,3194,South-Eastern Metropolitan,20.0,Kingston City Council,12965,8,0,20,1,1
340,Mentone,5/35 Como Pde E,2,u,520000.0,VB,RT,16-04-2016,3194,South-Eastern Metropolitan,20.0,Kingston City Council,12965,8,0,20,1,1
341,Mentone,24 Teague Av,3,t,861000.0,S,hockingstuart,16-04-2016,3194,South-Eastern Metropolitan,20.0,Kingston City Council,12965,8,0,20,1,1
342,Middle Park,6/82 Patterson St,2,u,700000.0,SP,Greg,16-04-2016,3206,Southern Metropolitan,3.0,Port Phillip City Council,4143,4,0,33,0,0
343,Mill Park,43 Madigan Cr,3,h,520000.0,S,Harcourts,16-04-2016,3082,Northern Metropolitan,17.9,Whittlesea City Council,29710,6,0,21,0,0
344,Mill Park,6 Septimus Cl,4,h,610000.0,S,Love,16-04-2016,3082,Northern Metropolitan,17.9,Whittlesea City Council,29710,6,0,21,0,0
